Transaction ID,Date,Item,Quantity,Price
1,2024-02-16,Chips,3,$2.73
2,2024-03-03,Chips,3,$1.64
3,2024-02-21,Toilet Paper,1,$6.85
4,2024-03-10,Eggs,3,$7.80
5,2024-03-02,Eggs,3,$2.79
6,2024-03-10,Bread,5,$1.57
7,2024-03-07,Diapers,2,$9.65
8,2024-02-23,Milk,4,$2.88
9,2024-02-29,Chips,4,$5.63
10,2024-02-21,Soap,3,$7.31
11,2024-02-10,Apples,4,$2.36
12,2024-03-05,Chips,1,$4.25
13,2024-02-19,Toilet Paper,3,$9.05
14,2024-03-03,Eggs,1,$3.19
15,2024-02-27,Cereal,2,$5.35
16,2024-02-20,Cereal,5,$8.77
17,2024-02-12,Diapers,1,$2.96
18,2024-03-01,Chips,4,$4.06
19,2024-03-10,Eggs,5,$1.50
20,2024-02-16,Eggs,3,$4.61
