Transaction ID,Date,Item,Quantity,Price
1,2024-02-22,Apples,4,$9.48
2,2024-02-18,Cereal,5,$4.34
3,2024-02-22,Toilet Paper,1,$8.55
4,2024-02-26,Pasta,5,$5.41
5,2024-02-13,Toilet Paper,5,$1.92
6,2024-02-26,Toilet Paper,2,$9.75
7,2024-02-23,Cereal,5,$2.20
8,2024-02-11,Chips,5,$8.75
9,2024-02-14,Bread,4,$4.27
10,2024-02-20,Toilet Paper,2,$7.06
11,2024-02-09,Soap,4,$6.18
12,2024-03-02,Cereal,4,$3.66
13,2024-03-08,Pasta,4,$2.31
14,2024-02-13,Cereal,1,$6.40
15,2024-02-22,Soap,3,$2.74
16,2024-02-10,Chips,4,$3.22
17,2024-02-24,Diapers,2,$4.24
18,2024-02-17,Apples,2,$3.12
19,2024-02-14,Apples,5,$8.84
20,2024-02-23,Soap,3,$3.70
