Transaction ID,Date,Item,Quantity,Price
1,2024-02-14,Chips,4,$2.43
2,2024-03-03,Toilet Paper,4,$2.17
3,2024-02-29,Diapers,3,$8.64
4,2024-02-24,Pasta,5,$2.37
5,2024-02-28,Cereal,1,$5.24
6,2024-02-17,Eggs,5,$5.16
7,2024-02-18,Soap,5,$1.97
8,2024-02-17,Toilet Paper,3,$7.87
9,2024-02-17,Eggs,2,$8.07
10,2024-03-08,Pasta,5,$1.74
11,2024-03-05,Diapers,2,$8.32
12,2024-03-07,Milk,4,$8.60
13,2024-02-11,Toilet Paper,4,$7.96
14,2024-02-17,Toilet Paper,1,$7.67
15,2024-02-21,Toilet Paper,2,$8.98
16,2024-02-24,Cereal,1,$5.91
17,2024-02-27,Toilet Paper,4,$6.85
18,2024-02-12,Apples,4,$6.65
19,2024-02-21,Cereal,2,$9.88
20,2024-03-03,Eggs,2,$4.81
